MacDeviceID,DeviceName,UserKey,RegionKey,BUKey,SerialNumber,Model,OSVersion,EnrollmentDate,LastCheckInDate,Status
MAC-00200,MAC-EUW-00200,13009,4,7,C02IC7GZZCD,MacBook Air 13,macOS 15.5,2025-05-11,2026-07-06,Managed
MAC-00201,MAC-USE-00201,4687,1,10,C02UE7NV0EF,MacBook Pro 16,macOS 15.5,2025-07-29,2026-07-06,Managed
MAC-00202,MAC-BRS-00202,4100,6,8,C02ZZGLMMOX,Mac mini,macOS 15.5,2024-11-11,2026-07-04,Managed
MAC-00203,MAC-USW-00203,13244,2,8,C02UDHYQ5AW,MacBook Pro 16,macOS 15.5,2026-03-21,2026-07-04,Managed
MAC-00204,MAC-USW-00204,5182,2,8,C02A7T5YBGL,MacBook Air 13,macOS 15.5,2025-03-31,2026-07-04,Managed
MAC-00205,MAC-USE-00205,2391,1,7,C02WE168G9N,MacBook Pro 16,macOS 15.4,2026-02-18,2026-06-14,Managed
MAC-00206,MAC-BRS-00206,13925,6,3,C024E1X3KOT,MacBook Air 13,macOS 15.5,2024-12-14,2026-07-04,Managed
MAC-00207,MAC-SEA-00207,10977,5,8,C02TREVIMO2,iMac 24,macOS 14.7,2026-01-26,2026-07-06,Managed
MAC-00208,MAC-BRS-00208,9456,6,12,C02EYU6NGNP,Mac mini,macOS 15.5,2024-12-20,2026-07-05,Managed
MAC-00209,MAC-USW-00209,3856,2,2,C02F689D2QG,Mac mini,macOS 15.5,2025-09-20,2026-07-07,Managed
MAC-00210,MAC-BRS-00210,3063,6,12,C025FIYUU6G,MacBook Pro 16,macOS 15.5,2026-04-11,2026-07-06,Managed
MAC-00211,MAC-BRS-00211,12930,6,10,C02G233PMSD,iMac 24,macOS 15.5,2025-01-16,2026-07-06,Managed
MAC-00212,MAC-BRS-00212,11520,6,8,C02BLWGXEDH,iMac 24,macOS 15.5,2024-12-16,2026-07-06,Managed
MAC-00213,MAC-USW-00213,12270,2,4,C02TEOSNZ55,Mac mini,macOS 15.5,2025-04-23,2026-07-06,Managed
MAC-00214,MAC-SEA-00214,55,5,9,C02BY7T03QB,MacBook Pro 16,macOS 13.7,2024-12-18,2026-07-04,Managed
MAC-00215,MAC-SEA-00215,4968,5,4,C02NZT1N4QY,MacBook Air 13,macOS 15.5,2025-10-21,2026-07-06,Managed
MAC-00216,MAC-EUN-00216,1209,3,5,C02STMUPM1R,Mac mini,macOS 15.5,2025-04-06,2026-07-04,Managed
MAC-00217,MAC-USE-00217,1228,1,4,C02P8F1EFO8,Mac mini,macOS 15.5,2026-02-15,2026-07-07,Managed
MAC-00218,MAC-USE-00218,6441,1,9,C02G6ZCKCYN,iMac 24,macOS 14.7,2024-12-11,2026-06-30,Managed
MAC-00219,MAC-EUN-00219,8860,3,3,C02WGT9TKYK,iMac 24,macOS 15.5,2025-07-05,2026-07-07,Managed
MAC-00220,MAC-USW-00220,7703,2,4,C0222OCFWW6,MacBook Pro 14,macOS 14.7,2025-11-05,2026-07-04,Managed
MAC-00221,MAC-EUN-00221,4065,3,1,C02DGLBA6Q2,MacBook Air 13,macOS 15.4,2025-03-07,2026-07-05,Managed
MAC-00222,MAC-EUW-00222,4180,4,5,C02GM4VJG0C,MacBook Air 13,macOS 15.5,2025-10-14,2026-07-06,Managed
MAC-00223,MAC-USE-00223,11774,1,12,C02F2H5BVG6,iMac 24,macOS 15.5,2025-09-07,2026-07-06,Managed
MAC-00224,MAC-EUW-00224,3519,4,2,C026DZCJFI5,MacBook Air 13,macOS 15.5,2024-08-13,2026-07-05,Managed
MAC-00225,MAC-USW-00225,4016,2,9,C02HY7108E6,Mac mini,macOS 15.4,2026-01-21,2026-07-07,Managed
MAC-00226,MAC-EUW-00226,2416,4,4,C02QR8ULO9B,MacBook Pro 14,macOS 15.5,2024-09-15,2026-07-05,Managed
MAC-00227,MAC-BRS-00227,13645,6,6,C02CZWGEH3X,Mac mini,macOS 15.5,2025-08-29,2026-07-04,Managed
MAC-00228,MAC-BRS-00228,8232,6,12,C021QNRNGN3,MacBook Pro 14,macOS 15.4,2024-10-22,2026-07-07,Managed
MAC-00229,MAC-BRS-00229,4312,6,6,C0251HUS31N,MacBook Pro 14,macOS 15.5,2025-03-26,2026-07-04,Needs Attention
MAC-00230,MAC-EUN-00230,3392,3,9,C02ASAM0CR2,MacBook Pro 16,macOS 15.5,2025-05-01,2026-07-06,Retired
MAC-00231,MAC-SEA-00231,12392,5,1,C02CSUY2C1M,iMac 24,macOS 15.4,2025-03-18,2026-07-07,Managed
MAC-00232,MAC-USW-00232,13853,2,9,C02FFTA39O5,iMac 24,macOS 15.5,2026-01-25,2026-07-04,Managed
MAC-00233,MAC-USE-00233,12449,1,8,C02QTOEMFO7,MacBook Pro 16,macOS 15.5,2025-01-07,2026-06-19,Managed
MAC-00234,MAC-USW-00234,12085,2,9,C02HTKXDZGK,MacBook Air 13,macOS 14.7,2025-08-09,2026-06-27,Managed
MAC-00235,MAC-SEA-00235,10543,5,8,C025X1YAJ5D,Mac mini,macOS 15.4,2025-09-30,2026-07-04,Managed
MAC-00236,MAC-EUW-00236,12401,4,5,C02Q9YFB4ZV,Mac mini,macOS 15.5,2025-10-02,2026-07-06,Managed
MAC-00237,MAC-SEA-00237,5325,5,2,C02UR9RYEZB,iMac 24,macOS 15.4,2026-06-27,2026-07-05,Managed
MAC-00238,MAC-USE-00238,12674,1,2,C02LA3JBTAS,MacBook Pro 16,macOS 15.5,2024-11-05,2026-07-04,Managed
MAC-00239,MAC-SEA-00239,713,5,2,C02F8N61L3B,Mac mini,macOS 14.7,2026-02-07,2026-07-07,Managed
MAC-00240,MAC-BRS-00240,3301,6,1,C02C4NRFOU9,MacBook Pro 14,macOS 15.4,2025-12-30,2026-07-04,Managed
MAC-00241,MAC-BRS-00241,13878,6,10,C02XB9CF5QG,Mac mini,macOS 15.4,2024-12-13,2026-07-06,Managed
MAC-00242,MAC-USW-00242,10301,2,5,C0275NGJF4Q,Mac mini,macOS 14.7,2025-02-20,2026-06-23,Managed
MAC-00243,MAC-USW-00243,12829,2,1,C02V6PFJ895,MacBook Pro 16,macOS 14.7,2026-02-23,2026-07-05,Managed
MAC-00244,MAC-SEA-00244,1159,5,11,C02DIDMALAK,Mac mini,macOS 15.5,2025-07-25,2026-07-06,Managed
MAC-00245,MAC-EUN-00245,11617,3,8,C02F8FLU7WL,Mac mini,macOS 15.4,2026-01-22,2026-07-05,Managed
MAC-00246,MAC-USW-00246,3360,2,3,C02OOTC4TYT,MacBook Pro 16,macOS 15.4,2025-06-07,2026-07-04,Managed
MAC-00247,MAC-USE-00247,12865,1,3,C02BVP25SCY,MacBook Air 13,macOS 15.5,2025-11-22,2026-07-07,Managed
MAC-00248,MAC-SEA-00248,3570,5,12,C023ALQIQMU,MacBook Pro 14,macOS 15.5,2025-03-28,2026-07-07,Managed
MAC-00249,MAC-SEA-00249,12278,5,8,C02NIE1H760,MacBook Pro 14,macOS 15.4,2025-09-19,2026-07-05,Managed
MAC-00250,MAC-BRS-00250,3681,6,8,C02MZFKHFUH,MacBook Pro 16,macOS 15.4,2026-01-05,2026-07-04,Retired
MAC-00251,MAC-USW-00251,13818,2,9,C02H6ZMAWMQ,iMac 24,macOS 15.5,2025-05-27,2026-06-25,Managed
MAC-00252,MAC-USW-00252,7858,2,1,C02Z8RT5B4L,Mac mini,macOS 15.5,2025-03-08,2026-07-04,Managed
MAC-00253,MAC-EUN-00253,9013,3,9,C02MSGKGZOR,MacBook Air 13,macOS 14.7,2026-06-23,2026-07-06,Enrollment Pending
MAC-00254,MAC-SEA-00254,6665,5,9,C029XG7PMJE,iMac 24,macOS 15.5,2024-11-09,2026-07-05,Managed
MAC-00255,MAC-SEA-00255,11076,5,1,C02MA5K32Y9,iMac 24,macOS 15.5,2025-07-29,2026-06-08,Managed
MAC-00256,MAC-USE-00256,5593,1,3,C02WEB1SDHN,iMac 24,macOS 14.7,2025-02-05,2026-07-07,Managed
MAC-00257,MAC-EUN-00257,3688,3,5,C02FS33VXIM,MacBook Pro 14,macOS 15.5,2025-01-21,2026-07-05,Managed
MAC-00258,MAC-USE-00258,13792,1,7,C02SK4Y4AFR,MacBook Pro 14,macOS 15.5,2024-10-31,2026-07-05,Managed
MAC-00259,MAC-EUW-00259,4103,4,4,C022LA9MRRX,MacBook Pro 14,macOS 14.7,2025-12-02,2026-07-04,Managed
MAC-00260,MAC-EUN-00260,8326,3,10,C020S7RMLAB,MacBook Air 13,macOS 15.5,2024-08-20,2026-07-04,Managed
MAC-00261,MAC-EUW-00261,5068,4,3,C02QAHQUOVZ,MacBook Pro 16,macOS 15.5,2024-11-15,2026-07-05,Managed
MAC-00262,MAC-SEA-00262,6310,5,10,C02BE027DAN,MacBook Air 13,macOS 15.5,2025-02-08,2026-07-05,Managed
MAC-00263,MAC-BRS-00263,12571,6,12,C02N0S6I5E4,Mac mini,macOS 15.4,2025-02-14,2026-07-04,Managed
MAC-00264,MAC-BRS-00264,1513,6,5,C024V75R3WB,iMac 24,macOS 15.5,2026-02-21,2026-07-05,Managed
MAC-00265,MAC-EUW-00265,12447,4,9,C020OS58VYR,MacBook Pro 16,macOS 14.7,2026-04-08,2026-07-07,Managed
MAC-00266,MAC-EUN-00266,8311,3,5,C027L3WRDH2,MacBook Pro 16,macOS 15.4,2025-03-12,2026-07-06,Managed
MAC-00267,MAC-BRS-00267,9176,6,2,C02ET83WNIB,Mac mini,macOS 14.7,2025-11-07,2026-07-06,Managed
MAC-00268,MAC-USW-00268,4279,2,3,C02SNHW2ZM0,MacBook Pro 14,macOS 15.4,2025-12-24,2026-07-06,Managed
MAC-00269,MAC-EUW-00269,9896,4,7,C02ZDQFLN79,MacBook Air 13,macOS 15.4,2025-07-30,2026-07-04,Managed
MAC-00270,MAC-USE-00270,12031,1,8,C02N7ZEJ46X,MacBook Air 13,macOS 15.5,2026-01-12,2026-07-07,Managed
MAC-00271,MAC-EUN-00271,9501,3,2,C029XH1H75B,Mac mini,macOS 15.5,2024-12-17,2026-07-04,Managed
MAC-00272,MAC-BRS-00272,4618,6,7,C02Z57I9W2N,MacBook Pro 16,macOS 15.4,2025-06-19,2026-07-06,Managed
MAC-00273,MAC-USW-00273,8725,2,11,C02WXRJ9YJU,MacBook Air 13,macOS 15.4,2025-12-28,2026-07-05,Managed
MAC-00274,MAC-EUW-00274,12603,4,6,C023B8124JL,MacBook Pro 14,macOS 14.7,2025-11-24,2026-07-06,Needs Attention
MAC-00275,MAC-EUW-00275,3191,4,11,C021LFCPLXN,MacBook Air 13,macOS 13.7,2025-01-21,2026-07-04,Managed
MAC-00276,MAC-EUN-00276,13275,3,4,C02I72H7DUJ,iMac 24,macOS 14.7,2026-06-25,2026-07-06,Managed
MAC-00277,MAC-USE-00277,54,1,2,C029TT828CR,Mac mini,macOS 15.4,2025-08-09,2026-07-06,Managed
MAC-00278,MAC-EUW-00278,6083,4,9,C02N20DAI6Y,Mac mini,macOS 15.4,2024-10-28,2026-07-07,Managed
MAC-00279,MAC-USW-00279,10527,2,2,C02998BQUDK,iMac 24,macOS 14.7,2025-09-03,2026-07-04,Managed
MAC-00280,MAC-SEA-00280,8671,5,7,C02Q5Y6OSTQ,MacBook Pro 14,macOS 15.4,2026-01-24,2026-07-07,Managed
MAC-00281,MAC-USW-00281,1416,2,11,C02RJ8LI7CS,iMac 24,macOS 15.4,2026-03-08,2026-07-07,Managed
MAC-00282,MAC-BRS-00282,11944,6,7,C021FBWWT4G,MacBook Air 13,macOS 14.7,2025-04-29,2026-07-06,Managed
MAC-00283,MAC-EUW-00283,6500,4,9,C02L7BFPTDH,Mac mini,macOS 15.4,2026-03-26,2026-07-04,Retired
MAC-00284,MAC-EUN-00284,6449,3,1,C02ZP39WTWA,MacBook Pro 16,macOS 14.7,2025-10-29,2026-07-07,Managed
MAC-00285,MAC-BRS-00285,8488,6,3,C02IFNOHP6I,MacBook Air 13,macOS 15.5,2025-01-22,2026-07-07,Managed
MAC-00286,MAC-USE-00286,13549,1,7,C02HP5VIGTH,Mac mini,macOS 15.5,2024-10-15,2026-07-06,Managed
MAC-00287,MAC-EUW-00287,1778,4,2,C02FH2T1FTY,iMac 24,macOS 14.7,2024-09-03,2026-07-05,Managed
MAC-00288,MAC-USW-00288,4093,2,7,C028YH3HNB3,iMac 24,macOS 14.7,2025-01-23,2026-07-07,Managed
MAC-00289,MAC-USE-00289,5352,1,10,C02GQBXPUY8,Mac mini,macOS 15.5,2025-02-03,2026-07-06,Managed
MAC-00290,MAC-EUN-00290,11980,3,1,C02N8EEBKXN,MacBook Air 13,macOS 15.4,2025-12-04,2026-07-06,Managed
MAC-00291,MAC-USW-00291,9060,2,8,C02SGLQ9IXI,MacBook Air 13,macOS 15.4,2024-09-11,2026-05-18,Managed
MAC-00292,MAC-USW-00292,4009,2,2,C02UT7CTL0F,MacBook Air 13,macOS 15.4,2026-01-25,2026-06-10,Managed
MAC-00293,MAC-USW-00293,12212,2,5,C02VRNESZWH,MacBook Pro 14,macOS 15.5,2024-10-30,2026-07-04,Managed
MAC-00294,MAC-USE-00294,6155,1,4,C02XO5GSFTD,MacBook Pro 16,macOS 15.5,2025-12-14,2026-07-04,Managed
MAC-00295,MAC-BRS-00295,7078,6,9,C021CUUBXYS,Mac mini,macOS 14.7,2024-12-05,2026-07-07,Managed
MAC-00296,MAC-EUW-00296,2669,4,1,C02SQ1Q0CM7,iMac 24,macOS 15.5,2024-11-27,2026-07-04,Managed
MAC-00297,MAC-USW-00297,12142,2,10,C02ZP99G1F4,MacBook Pro 16,macOS 15.5,2026-06-27,2026-07-04,Managed
MAC-00298,MAC-USW-00298,7632,2,8,C02EXSVX4SJ,Mac mini,macOS 15.4,2025-04-26,2026-07-05,Managed
MAC-00299,MAC-USW-00299,7772,2,4,C024IUMZBJA,MacBook Pro 16,macOS 15.4,2024-12-19,2026-07-05,Retired
MAC-00300,MAC-SEA-00300,2943,5,9,C020V26JWCQ,MacBook Pro 16,macOS 13.7,2025-08-08,2026-07-07,Needs Attention
MAC-00301,MAC-SEA-00301,9980,5,8,C02TNEIW2YK,MacBook Air 13,macOS 15.4,2026-06-10,2026-07-05,Lost
MAC-00302,MAC-EUW-00302,12174,4,12,C028UURGY9O,iMac 24,macOS 15.4,2026-01-14,2026-07-04,Managed
MAC-00303,MAC-USE-00303,8043,1,12,C02PTOEXHYR,MacBook Pro 16,macOS 15.4,2025-02-19,2026-07-05,Managed
MAC-00304,MAC-USE-00304,3317,1,12,C02J205DNUL,Mac mini,macOS 15.5,2024-10-28,2026-07-07,Managed
MAC-00305,MAC-BRS-00305,8134,6,6,C02WZND7C26,MacBook Pro 14,macOS 15.5,2025-09-09,2026-07-05,Lost
MAC-00306,MAC-BRS-00306,12366,6,3,C02L135OY7R,MacBook Pro 14,macOS 14.7,2025-09-29,2026-07-04,Managed
MAC-00307,MAC-USW-00307,6536,2,10,C02P45FZXUM,MacBook Pro 16,macOS 15.5,2025-05-31,2026-05-31,Managed
MAC-00308,MAC-EUW-00308,11190,4,3,C022EKRV53F,MacBook Pro 16,macOS 15.5,2026-01-03,2026-07-05,Managed
MAC-00309,MAC-SEA-00309,135,5,12,C02PCPL5JBU,iMac 24,macOS 15.4,2024-09-29,2026-07-05,Managed
MAC-00310,MAC-BRS-00310,12427,6,4,C02U1QOQJQ2,iMac 24,macOS 15.5,2026-02-27,2026-07-04,Managed
MAC-00311,MAC-USE-00311,12740,1,9,C02ZAT8K6CH,Mac mini,macOS 15.4,2024-11-12,2026-07-04,Managed
MAC-00312,MAC-EUN-00312,471,3,4,C02XQPIHKVP,iMac 24,macOS 15.4,2025-09-16,2026-07-04,Managed
MAC-00313,MAC-SEA-00313,9464,5,1,C026YSJ52LT,iMac 24,macOS 15.5,2025-01-28,2026-07-07,Managed
MAC-00314,MAC-EUW-00314,11115,4,5,C020Z3M3TD2,Mac mini,macOS 13.7,2025-02-11,2026-07-04,Managed
MAC-00315,MAC-EUN-00315,11589,3,12,C02S8BYXPW8,MacBook Pro 14,macOS 15.4,2026-02-14,2026-07-06,Needs Attention
MAC-00316,MAC-USE-00316,74,1,3,C02BCSLQAOR,MacBook Air 13,macOS 15.5,2024-07-28,2026-07-07,Managed
MAC-00317,MAC-SEA-00317,3751,5,11,C023HDPCABX,MacBook Pro 14,macOS 15.4,2024-09-21,2026-07-06,Managed
MAC-00318,MAC-USE-00318,13137,1,11,C02G3M0LBAX,Mac mini,macOS 15.5,2024-11-13,2026-07-07,Needs Attention
MAC-00319,MAC-USE-00319,2614,1,7,C02X8XH6HND,MacBook Air 13,macOS 15.5,2024-12-23,2026-07-07,Managed
MAC-00320,MAC-EUN-00320,11695,3,12,C02L99D7VGI,MacBook Pro 14,macOS 15.5,2026-01-02,2026-07-06,Managed
MAC-00321,MAC-USW-00321,12665,2,4,C02TFWHQZ8O,MacBook Pro 16,macOS 15.5,2024-08-12,2026-07-06,Managed
MAC-00322,MAC-SEA-00322,8000,5,8,C02Z54HT5GR,MacBook Air 13,macOS 15.4,2024-08-23,2026-07-04,Managed
MAC-00323,MAC-USW-00323,12390,2,3,C02VOSXZBNX,MacBook Pro 14,macOS 15.5,2026-05-19,2026-07-04,Managed
MAC-00324,MAC-EUN-00324,3074,3,4,C02FEGBVJQ9,MacBook Pro 16,macOS 14.7,2025-03-22,2026-06-20,Needs Attention
MAC-00325,MAC-USE-00325,12213,1,2,C02YCX5SC2X,Mac mini,macOS 15.4,2025-04-20,2026-07-07,Managed
MAC-00326,MAC-SEA-00326,1735,5,1,C02OLBH03UB,MacBook Pro 14,macOS 15.4,2026-06-21,2026-07-07,Managed
MAC-00327,MAC-BRS-00327,10981,6,7,C02OXOUG4CN,Mac mini,macOS 15.5,2025-10-03,2026-07-04,Needs Attention
MAC-00328,MAC-SEA-00328,6703,5,10,C020IP40VYY,Mac mini,macOS 14.7,2025-07-21,2026-07-06,Managed
MAC-00329,MAC-SEA-00329,5849,5,2,C02C14LEQAV,iMac 24,macOS 15.5,2024-12-04,2026-07-05,Retired
MAC-00330,MAC-EUW-00330,3253,4,10,C02F7LUU0DH,MacBook Pro 16,macOS 15.5,2024-07-19,2026-07-06,Managed
MAC-00331,MAC-EUN-00331,3554,3,8,C02ZOJ7GXMN,iMac 24,macOS 15.5,2026-02-03,2026-07-04,Managed
MAC-00332,MAC-USE-00332,4094,1,3,C02CBVJOV8B,iMac 24,macOS 14.7,2026-01-27,2026-07-06,Managed
MAC-00333,MAC-BRS-00333,7884,6,8,C021J2ZZ9NJ,Mac mini,macOS 15.5,2025-11-13,2026-07-07,Retired
MAC-00334,MAC-BRS-00334,8686,6,1,C0286RWHSMB,Mac mini,macOS 14.7,2025-07-23,2026-07-04,Managed
MAC-00335,MAC-EUN-00335,9942,3,2,C028PEA60G4,iMac 24,macOS 14.7,2026-06-04,2026-07-07,Managed
MAC-00336,MAC-EUW-00336,250,4,3,C02JEQ5QIM3,MacBook Pro 14,macOS 15.5,2025-07-18,2026-07-05,Managed
MAC-00337,MAC-USW-00337,6478,2,5,C02PF5TKLBZ,iMac 24,macOS 15.4,2025-09-28,2026-07-06,Managed
MAC-00338,MAC-EUN-00338,2824,3,9,C02B557CVSN,MacBook Air 13,macOS 14.7,2025-12-29,2026-07-05,Managed
MAC-00339,MAC-USW-00339,146,2,7,C02L5912VCT,MacBook Pro 16,macOS 15.5,2026-01-15,2026-07-04,Managed
MAC-00340,MAC-USE-00340,7976,1,9,C023X055JL7,MacBook Air 13,macOS 15.5,2026-03-09,2026-07-04,Managed
MAC-00341,MAC-USE-00341,9508,1,8,C02ONQL9YDG,iMac 24,macOS 14.7,2025-07-03,2026-07-05,Managed
MAC-00342,MAC-USW-00342,8920,2,1,C02XTCYTW3F,MacBook Air 13,macOS 15.4,2025-03-17,2026-07-05,Managed
MAC-00343,MAC-SEA-00343,2679,5,3,C02W6P16E1J,iMac 24,macOS 15.5,2024-08-17,2026-07-05,Managed
MAC-00344,MAC-USE-00344,1724,1,9,C02O2DOW1YB,iMac 24,macOS 15.4,2026-01-05,2026-07-04,Managed
MAC-00345,MAC-BRS-00345,13033,6,2,C02WND0YPAY,MacBook Pro 16,macOS 14.7,2025-03-12,2026-07-07,Managed
MAC-00346,MAC-EUN-00346,8600,3,2,C02C6DOOFLO,Mac mini,macOS 15.4,2024-11-17,2026-06-24,Managed
MAC-00347,MAC-EUW-00347,2072,4,6,C0225S461KJ,MacBook Pro 14,macOS 14.7,2025-10-27,2026-05-10,Needs Attention
MAC-00348,MAC-EUN-00348,5184,3,9,C026Z9KSDRS,MacBook Pro 14,macOS 15.5,2024-08-07,2026-05-10,Needs Attention
MAC-00349,MAC-SEA-00349,5766,5,11,C02EOA2N9NN,iMac 24,macOS 14.7,2024-09-15,2026-07-07,Managed
MAC-00350,MAC-EUW-00350,9763,4,2,C025359TEFC,MacBook Air 13,macOS 14.7,2024-11-13,2026-07-07,Managed
MAC-00351,MAC-BRS-00351,7444,6,7,C02Y3C6FIK5,iMac 24,macOS 15.5,2024-11-10,2026-07-04,Managed
MAC-00352,MAC-BRS-00352,7828,6,1,C02DUZAT14B,MacBook Pro 14,macOS 14.7,2026-02-18,2026-07-06,Managed
MAC-00353,MAC-EUN-00353,3844,3,4,C02UQHEHO55,MacBook Air 13,macOS 15.5,2025-09-27,2026-07-06,Managed
MAC-00354,MAC-USE-00354,4670,1,8,C022IMGEONL,MacBook Air 13,macOS 15.5,2026-03-09,2026-07-07,Managed
MAC-00355,MAC-EUN-00355,7799,3,7,C02KNW9UZ62,MacBook Air 13,macOS 15.5,2025-04-18,2026-07-05,Managed
MAC-00356,MAC-USE-00356,9837,1,10,C02Y4VY9691,MacBook Pro 14,macOS 15.4,2026-06-19,2026-07-05,Retired
MAC-00357,MAC-SEA-00357,9,5,9,C028X2LJVLL,MacBook Air 13,macOS 15.4,2025-11-05,2026-07-06,Managed
MAC-00358,MAC-SEA-00358,4063,5,2,C02RGU6O9TU,iMac 24,macOS 15.5,2025-02-26,2026-07-07,Managed
MAC-00359,MAC-EUN-00359,2319,3,1,C02SGNERC39,iMac 24,macOS 15.4,2025-09-10,2026-07-05,Enrollment Pending
MAC-00360,MAC-USW-00360,523,2,3,C026SLFZSN0,iMac 24,macOS 15.5,2026-02-24,2026-07-07,Managed
MAC-00361,MAC-BRS-00361,13262,6,8,C02YWJ6L9R8,iMac 24,macOS 15.4,2025-03-22,2026-07-06,Managed
MAC-00362,MAC-BRS-00362,12570,6,8,C02FL988P8T,MacBook Air 13,macOS 15.4,2026-03-15,2026-07-06,Needs Attention
MAC-00363,MAC-EUN-00363,9160,3,6,C02GD6GZANL,MacBook Air 13,macOS 15.5,2025-02-12,2026-07-06,Managed
MAC-00364,MAC-BRS-00364,4544,6,11,C02YB60HX5S,MacBook Pro 16,macOS 15.4,2024-10-03,2026-07-02,Managed
MAC-00365,MAC-USE-00365,12145,1,3,C022E8NTZZC,Mac mini,macOS 15.5,2026-05-25,2026-07-04,Managed
MAC-00366,MAC-USW-00366,10235,2,9,C02Q6TM7IFV,MacBook Pro 16,macOS 15.5,2026-01-24,2026-07-06,Managed
MAC-00367,MAC-EUN-00367,8755,3,11,C02VFTCRT94,MacBook Pro 14,macOS 15.4,2024-07-19,2026-07-06,Managed
MAC-00368,MAC-BRS-00368,8333,6,12,C02K44U12UD,iMac 24,macOS 15.4,2025-05-11,2026-07-07,Managed
MAC-00369,MAC-USE-00369,977,1,6,C02V7DKJ7EG,MacBook Pro 16,macOS 14.7,2025-12-15,2026-07-07,Managed
MAC-00370,MAC-EUW-00370,794,4,9,C02B6HP2AMS,iMac 24,macOS 15.5,2024-09-08,2026-07-05,Managed
MAC-00371,MAC-EUN-00371,9863,3,2,C02D0GZX7Z0,MacBook Pro 16,macOS 15.4,2025-01-15,2026-07-04,Managed
MAC-00372,MAC-EUN-00372,8674,3,7,C02P5ME5KJU,Mac mini,macOS 14.7,2025-03-12,2026-06-26,Managed
MAC-00373,MAC-EUW-00373,9756,4,1,C02HMDRLYJZ,iMac 24,macOS 15.5,2025-12-23,2026-07-07,Managed
MAC-00374,MAC-EUW-00374,8449,4,4,C02UOCMHRR9,Mac mini,macOS 15.5,2026-03-26,2026-07-07,Managed
MAC-00375,MAC-BRS-00375,1552,6,1,C02RIHG3G38,MacBook Air 13,macOS 15.5,2026-03-11,2026-07-05,Managed
MAC-00376,MAC-USW-00376,7924,2,7,C022TYY6Z07,MacBook Air 13,macOS 15.4,2026-05-08,2026-07-07,Managed
MAC-00377,MAC-USE-00377,8428,1,8,C02WRVEAVDT,MacBook Pro 16,macOS 14.7,2026-01-07,2026-06-30,Managed
MAC-00378,MAC-USW-00378,1955,2,4,C02INHE87SC,MacBook Pro 16,macOS 15.5,2025-07-12,2026-07-07,Managed
MAC-00379,MAC-EUW-00379,13151,4,9,C0258MDBXTG,MacBook Pro 16,macOS 15.5,2024-10-11,2026-07-07,Managed
MAC-00380,MAC-USE-00380,13538,1,7,C025WU9WD5T,iMac 24,macOS 15.5,2025-11-24,2026-07-04,Managed
MAC-00381,MAC-SEA-00381,9591,5,11,C02Y1PTBF4B,iMac 24,macOS 14.7,2026-03-02,2026-07-05,Managed
MAC-00382,MAC-EUW-00382,12460,4,12,C02SGKMY0DG,MacBook Pro 16,macOS 15.5,2025-08-11,2026-07-04,Managed
MAC-00383,MAC-USW-00383,9060,2,8,C02EBXYD5DR,iMac 24,macOS 15.5,2025-01-05,2026-07-05,Managed
MAC-00384,MAC-BRS-00384,1061,6,5,C02RBUE88WK,MacBook Pro 16,macOS 15.4,2026-05-11,2026-07-06,Managed
MAC-00385,MAC-EUW-00385,6832,4,8,C02SNLYPBST,Mac mini,macOS 15.5,2025-02-14,2026-07-06,Managed
MAC-00386,MAC-BRS-00386,8606,6,4,C02PKW92O9Y,MacBook Pro 14,macOS 15.4,2025-05-06,2026-07-05,Managed
MAC-00387,MAC-BRS-00387,963,6,8,C02GK8LKIJ4,MacBook Pro 14,macOS 15.5,2024-09-24,2026-07-05,Managed
MAC-00388,MAC-SEA-00388,7785,5,12,C026ECC7E74,MacBook Pro 16,macOS 15.4,2026-06-26,2026-06-27,Managed
MAC-00389,MAC-SEA-00389,7792,5,6,C020GIQ17C4,MacBook Air 13,macOS 14.7,2024-07-30,2026-07-06,Managed
MAC-00390,MAC-BRS-00390,1973,6,11,C02WS6T537C,MacBook Pro 16,macOS 15.5,2026-06-06,2026-07-07,Managed
MAC-00391,MAC-EUW-00391,166,4,4,C020YOGR9WH,Mac mini,macOS 15.5,2024-08-17,2026-07-06,Managed
MAC-00392,MAC-USE-00392,12258,1,11,C02H35PCIBH,MacBook Air 13,macOS 14.7,2025-03-22,2026-07-05,Managed
MAC-00393,MAC-USW-00393,11778,2,2,C021PNDWKAU,iMac 24,macOS 14.7,2026-03-24,2026-07-07,Managed
MAC-00394,MAC-EUW-00394,365,4,2,C02CKUV6666,MacBook Pro 14,macOS 15.5,2025-09-30,2026-07-05,Managed
MAC-00395,MAC-BRS-00395,2260,6,6,C02165ISHZE,iMac 24,macOS 15.5,2024-08-07,2026-06-24,Managed
MAC-00396,MAC-BRS-00396,6530,6,1,C02FX2AZ0XQ,MacBook Pro 16,macOS 15.4,2025-02-15,2026-07-07,Managed
MAC-00397,MAC-BRS-00397,3977,6,1,C02Q7XI1WA2,iMac 24,macOS 15.5,2025-07-23,2026-07-05,Managed
MAC-00398,MAC-USW-00398,8362,2,7,C02FD68UPDQ,MacBook Pro 14,macOS 14.7,2025-03-07,2026-07-04,Managed
MAC-00399,MAC-EUN-00399,10924,3,6,C02FANTDZKV,Mac mini,macOS 15.5,2024-12-04,2026-07-05,Managed
