CloudPCID,CloudPCName,UserKey,RegionKey,BUKey,ProvisioningPolicy,LicenseSKU,Status,vCPU,MemoryGB,DiskGB,DiskType,OSVersion,IPAddress,AzureResourceGroup,ProvisionedDate,EnrolledDate,LastLoginDate,DaysSinceLastLogin,InactivityBucket
CPC-00510,CPC-USW-00510,510,2,11,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.1.254,rg-w365-usw-11,2025-08-09,2025-08-10,2026-06-30,7,Active <15 Days
CPC-00511,CPC-USE-00511,511,1,4,W365-US-East-Standard,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Premium SSD,Windows 11 Enterprise 24H2,10.1.1.255,rg-w365-use-04,2026-04-05,2026-04-07,2026-06-23,14,Active <15 Days
CPC-00512,CPC-BRS-00512,512,6,5,W365-LATAM-SharedOps,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.6.2.0,rg-w365-brs-05,2025-12-16,2025-12-18,2026-06-27,10,Active <15 Days
CPC-00513,CPC-BRS-00513,513,6,2,W365-LATAM-SharedOps,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.2.1,rg-w365-brs-02,2026-02-07,2026-02-09,2026-07-07,0,Active <15 Days
CPC-00514,CPC-USW-00514,514,2,4,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.2.2.2,rg-w365-usw-04,2026-02-01,2026-02-03,2026-07-04,3,Active <15 Days
CPC-00515,CPC-EUN-00515,515,3,7,W365-EMEA-North-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.3,rg-w365-eun-07,2025-12-26,2025-12-28,2026-07-05,2,Active <15 Days
CPC-00516,CPC-USW-00516,516,2,5,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 24H2,10.2.2.4,rg-w365-usw-05,2025-09-28,2025-09-30,2026-06-26,11,Active <15 Days
CPC-00517,CPC-EUW-00517,517,4,6,W365-EMEA-West-Dev,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.4.2.5,rg-w365-euw-06,2025-08-30,2025-08-31,2026-06-23,14,Active <15 Days
CPC-00518,CPC-SEA-00518,518,5,10,W365-APAC-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.5.2.6,rg-w365-sea-10,2026-04-20,2026-04-22,2026-06-27,10,Active <15 Days
CPC-00519,CPC-BRS-00519,519,6,7,W365-LATAM-SharedOps,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.2.7,rg-w365-brs-07,2025-06-29,2025-06-30,2026-06-28,9,Active <15 Days
CPC-00520,CPC-BRS-00520,520,6,11,W365-LATAM-SharedOps,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.6.2.8,rg-w365-brs-11,2026-04-11,2026-04-11,2026-05-21,47,45+ Days
CPC-00521,CPC-USW-00521,521,2,7,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.2.9,rg-w365-usw-07,2026-03-07,2026-03-07,2026-06-03,34,15-45 Days
CPC-00522,CPC-USW-00522,522,2,11,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.2.10,rg-w365-usw-11,2025-08-19,2025-08-19,2026-07-07,0,Active <15 Days
CPC-00523,CPC-USW-00523,523,2,3,W365-US-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.2.11,rg-w365-usw-03,2026-06-16,2026-06-16,2026-06-26,11,Active <15 Days
CPC-00524,CPC-USE-00524,524,1,9,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.1.2.12,rg-w365-use-09,2026-03-27,2026-03-28,2026-07-07,0,Active <15 Days
CPC-00525,CPC-EUN-00525,525,3,6,W365-EMEA-North-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.3.2.13,rg-w365-eun-06,2025-09-22,2025-09-24,2026-05-31,37,15-45 Days
CPC-00526,CPC-SEA-00526,526,5,5,W365-APAC-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.2.14,rg-w365-sea-05,2026-01-22,2026-01-23,2026-07-02,5,Active <15 Days
CPC-00527,CPC-SEA-00527,527,5,5,W365-APAC-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 24H2,10.5.2.15,rg-w365-sea-05,2025-09-13,2025-09-14,2026-06-26,11,Active <15 Days
CPC-00528,CPC-USW-00528,528,2,5,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.2.2.16,rg-w365-usw-05,2026-05-17,2026-05-17,2026-07-04,3,Active <15 Days
CPC-00529,CPC-EUN-00529,529,3,5,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.3.2.17,rg-w365-eun-05,2026-01-14,2026-01-16,2026-07-07,0,Active <15 Days
CPC-00530,CPC-EUN-00530,530,3,6,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.18,rg-w365-eun-06,2025-09-03,2025-09-03,2026-07-04,3,Active <15 Days
CPC-00531,CPC-SEA-00531,531,5,7,W365-APAC-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.2.19,rg-w365-sea-07,2026-06-06,2026-06-08,2026-06-30,7,Active <15 Days
CPC-00532,CPC-BRS-00532,532,6,4,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.2.20,rg-w365-brs-04,2025-11-22,2025-11-23,2026-03-13,116,45+ Days
CPC-00533,CPC-SEA-00533,533,5,12,W365-APAC-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.5.2.21,rg-w365-sea-12,2026-02-12,2026-02-12,2026-06-24,13,Active <15 Days
CPC-00534,CPC-SEA-00534,534,5,11,W365-APAC-Privileged,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Premium SSD,Windows 11 Enterprise 23H2,10.5.2.22,rg-w365-sea-11,2026-01-16,2026-01-18,2026-05-27,41,15-45 Days
CPC-00535,CPC-EUN-00535,535,3,1,W365-EMEA-North-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 10 Enterprise 22H2,10.3.2.23,rg-w365-eun-01,2025-05-23,2025-05-25,2026-06-23,14,Active <15 Days
CPC-00536,CPC-EUN-00536,536,3,2,W365-EMEA-North-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.3.2.24,rg-w365-eun-02,2025-08-09,2025-08-11,2026-07-05,2,Active <15 Days
CPC-00537,CPC-USW-00537,537,2,8,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.2.2.25,rg-w365-usw-08,2026-05-30,2026-06-01,2026-04-25,73,45+ Days
CPC-00538,CPC-EUW-00538,538,4,1,W365-EMEA-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.4.2.26,rg-w365-euw-01,2025-07-07,2025-07-08,2026-07-02,5,Active <15 Days
CPC-00539,CPC-USW-00539,539,2,10,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.2.27,rg-w365-usw-10,2025-06-21,2025-06-21,2026-06-28,9,Active <15 Days
CPC-00540,CPC-EUN-00540,540,3,2,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.28,rg-w365-eun-02,2025-06-25,2025-06-27,2026-03-11,118,45+ Days
CPC-00541,CPC-USE-00541,541,1,12,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.1.2.29,rg-w365-use-12,2026-06-04,2026-06-04,2026-05-23,45,15-45 Days
CPC-00542,CPC-SEA-00542,542,5,4,W365-APAC-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Standard SSD,Windows 11 Enterprise 24H2,10.5.2.30,rg-w365-sea-04,2026-03-07,2026-03-09,2026-06-23,14,Active <15 Days
CPC-00543,CPC-EUN-00543,543,3,6,W365-EMEA-North-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.3.2.31,rg-w365-eun-06,2025-11-18,2025-11-19,2026-07-03,4,Active <15 Days
CPC-00544,CPC-USW-00544,544,2,7,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.2.2.32,rg-w365-usw-07,2025-11-08,2025-11-10,2026-06-24,13,Active <15 Days
CPC-00545,CPC-EUW-00545,545,4,2,W365-EMEA-West-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.4.2.33,rg-w365-euw-02,2026-05-14,2026-05-16,2026-07-04,3,Active <15 Days
CPC-00546,CPC-USE-00546,546,1,3,W365-US-East-Privileged,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Ephemeral,Windows 11 Enterprise 24H2,10.1.2.34,rg-w365-use-03,2025-12-12,2025-12-13,2026-07-02,5,Active <15 Days
CPC-00547,CPC-SEA-00547,547,5,9,W365-APAC-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.5.2.35,rg-w365-sea-09,2026-06-06,2026-06-06,2026-06-23,14,Active <15 Days
CPC-00548,CPC-EUW-00548,548,4,3,W365-EMEA-West-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 23H2,10.4.2.36,rg-w365-euw-03,2025-10-19,2025-10-19,2026-07-02,5,Active <15 Days
CPC-00549,CPC-USW-00549,549,2,7,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.2.37,rg-w365-usw-07,2025-12-15,2025-12-17,2026-06-25,12,Active <15 Days
CPC-00550,CPC-SEA-00550,550,5,10,W365-APAC-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.2.38,rg-w365-sea-10,2026-03-30,2026-03-31,2026-06-25,12,Active <15 Days
CPC-00551,CPC-SEA-00551,551,5,11,W365-APAC-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.5.2.39,rg-w365-sea-11,2025-09-09,2025-09-10,2026-06-29,8,Active <15 Days
CPC-00552,CPC-BRS-00552,552,6,10,W365-LATAM-SharedOps,W365 Enterprise 4vCPU/16GB/128GB,PendingProvisioning,4,16,128,Standard SSD,Windows 11 Enterprise 23H2,10.6.2.40,rg-w365-brs-10,2026-02-15,2026-02-16,2026-07-03,4,Active <15 Days
CPC-00553,CPC-EUN-00553,553,3,2,W365-EMEA-North-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 23H2,10.3.2.41,rg-w365-eun-02,2026-01-23,2026-01-25,2026-07-03,4,Active <15 Days
CPC-00554,CPC-USE-00554,554,1,1,W365-US-East-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.2.42,rg-w365-use-01,2025-07-09,2025-07-09,2026-07-06,1,Active <15 Days
CPC-00555,CPC-EUW-00555,555,4,8,W365-EMEA-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.4.2.43,rg-w365-euw-08,2026-04-03,2026-04-05,2026-06-26,11,Active <15 Days
CPC-00556,CPC-USE-00556,556,1,11,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.1.2.44,rg-w365-use-11,2025-07-15,2025-07-16,2026-07-05,2,Active <15 Days
CPC-00557,CPC-USW-00557,557,2,12,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.2.2.45,rg-w365-usw-12,2025-05-22,2025-05-24,2026-06-23,14,Active <15 Days
CPC-00558,CPC-EUW-00558,558,4,7,W365-EMEA-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Failed,4,16,128,Standard SSD,Windows 11 Enterprise 23H2,10.4.2.46,rg-w365-euw-07,2025-11-13,2025-11-14,2026-06-30,7,Active <15 Days
CPC-00559,CPC-BRS-00559,559,6,6,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.6.2.47,rg-w365-brs-06,2025-06-02,2025-06-03,2026-07-03,4,Active <15 Days
CPC-00560,CPC-USW-00560,560,2,8,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.2.48,rg-w365-usw-08,2026-01-31,2026-02-01,2026-07-05,2,Active <15 Days
CPC-00561,CPC-USE-00561,561,1,9,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.1.2.49,rg-w365-use-09,2025-07-29,2025-07-31,2026-06-29,8,Active <15 Days
CPC-00562,CPC-USW-00562,562,2,9,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.2.50,rg-w365-usw-09,2026-01-29,2026-01-30,2026-06-16,21,15-45 Days
CPC-00563,CPC-USW-00563,563,2,9,W365-US-West-Standard,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Premium SSD,Windows 11 Enterprise 23H2,10.2.2.51,rg-w365-usw-09,2026-01-04,2026-01-05,2026-06-23,14,Active <15 Days
CPC-00564,CPC-USW-00564,564,2,6,W365-US-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.2.52,rg-w365-usw-06,2025-11-27,2025-11-27,2026-07-04,3,Active <15 Days
CPC-00565,CPC-SEA-00565,565,5,3,W365-APAC-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.5.2.53,rg-w365-sea-03,2025-12-10,2025-12-11,2026-07-01,6,Active <15 Days
CPC-00566,CPC-BRS-00566,566,6,10,W365-LATAM-SharedOps,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.6.2.54,rg-w365-brs-10,2025-11-13,2025-11-13,2026-06-27,10,Active <15 Days
CPC-00567,CPC-USE-00567,567,1,8,W365-US-East-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 24H2,10.1.2.55,rg-w365-use-08,2025-10-02,2025-10-03,2026-07-01,6,Active <15 Days
CPC-00568,CPC-USE-00568,568,1,3,W365-US-East-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.1.2.56,rg-w365-use-03,2026-01-31,2026-01-31,2026-06-20,17,15-45 Days
CPC-00569,CPC-USW-00569,569,2,4,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Standard SSD,Windows 11 Enterprise 23H2,10.2.2.57,rg-w365-usw-04,2026-04-14,2026-04-15,2026-06-27,10,Active <15 Days
CPC-00570,CPC-EUN-00570,570,3,9,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.58,rg-w365-eun-09,2025-12-07,2025-12-08,2026-06-29,8,Active <15 Days
CPC-00571,CPC-BRS-00571,571,6,10,W365-LATAM-SharedOps,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Standard SSD,Windows 11 Enterprise 23H2,10.6.2.59,rg-w365-brs-10,2026-02-23,2026-02-24,2026-07-05,2,Active <15 Days
CPC-00572,CPC-BRS-00572,572,6,10,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.6.2.60,rg-w365-brs-10,2025-11-29,2025-11-29,2026-06-23,14,Active <15 Days
CPC-00573,CPC-EUW-00573,573,4,4,W365-EMEA-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.4.2.61,rg-w365-euw-04,2026-05-12,2026-05-12,2026-07-01,6,Active <15 Days
CPC-00574,CPC-BRS-00574,574,6,10,W365-LATAM-SharedOps,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 11 Enterprise 24H2,10.6.2.62,rg-w365-brs-10,2026-04-14,2026-04-16,2026-06-30,7,Active <15 Days
CPC-00575,CPC-BRS-00575,575,6,10,W365-LATAM-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.2.63,rg-w365-brs-10,2026-02-22,2026-02-24,2026-05-28,40,15-45 Days
CPC-00576,CPC-EUN-00576,576,3,12,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.64,rg-w365-eun-12,2026-02-01,2026-02-01,2026-06-28,9,Active <15 Days
CPC-00577,CPC-USW-00577,577,2,10,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Standard SSD,Windows 11 Enterprise 23H2,10.2.2.65,rg-w365-usw-10,2025-09-03,2025-09-05,2026-07-04,3,Active <15 Days
CPC-00578,CPC-USW-00578,578,2,3,W365-US-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.2.66,rg-w365-usw-03,2026-06-06,2026-06-06,2026-06-11,26,15-45 Days
CPC-00579,CPC-SEA-00579,579,5,7,W365-APAC-Standard,W365 Enterprise 4vCPU/16GB/128GB,PendingProvisioning,4,16,128,Standard SSD,Windows 11 Enterprise 23H2,10.5.2.67,rg-w365-sea-07,2025-07-20,2025-07-20,2026-07-03,4,Active <15 Days
CPC-00580,CPC-USE-00580,580,1,1,W365-US-East-Standard,W365 Enterprise 4vCPU/16GB/256GB,Deprovisioning,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.1.2.68,rg-w365-use-01,2026-03-26,2026-03-27,2026-06-28,9,Active <15 Days
CPC-00581,CPC-EUN-00581,581,3,7,W365-EMEA-North-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 24H2,10.3.2.69,rg-w365-eun-07,2025-07-28,2025-07-30,2026-07-05,2,Active <15 Days
CPC-00582,CPC-SEA-00582,582,5,2,W365-APAC-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Standard SSD,Windows 10 Enterprise 22H2,10.5.2.70,rg-w365-sea-02,2025-05-31,2025-06-01,2026-06-18,19,15-45 Days
CPC-00583,CPC-BRS-00583,583,6,10,W365-LATAM-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.6.2.71,rg-w365-brs-10,2025-11-17,2025-11-19,2026-07-05,2,Active <15 Days
CPC-00584,CPC-EUN-00584,584,3,11,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.72,rg-w365-eun-11,2025-10-19,2025-10-20,2026-06-25,12,Active <15 Days
CPC-00585,CPC-BRS-00585,585,6,2,W365-LATAM-Standard,W365 Enterprise 2vCPU/8GB/128GB,Failed,2,8,128,Standard SSD,Windows 11 Enterprise 24H2,10.6.2.73,rg-w365-brs-02,2026-02-16,2026-02-18,2026-06-26,11,Active <15 Days
CPC-00586,CPC-EUW-00586,586,4,12,W365-EMEA-West-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.4.2.74,rg-w365-euw-12,2025-10-04,2025-10-06,2026-07-05,2,Active <15 Days
CPC-00587,CPC-USE-00587,587,1,4,W365-US-East-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.2.75,rg-w365-use-04,2026-03-10,2026-03-12,2026-05-31,37,15-45 Days
CPC-00588,CPC-BRS-00588,588,6,12,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.6.2.76,rg-w365-brs-12,2026-01-22,2026-01-24,2026-06-24,13,Active <15 Days
CPC-00589,CPC-USW-00589,589,2,10,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.2.2.77,rg-w365-usw-10,2025-06-05,2025-06-07,2026-06-28,9,Active <15 Days
CPC-00590,CPC-BRS-00590,590,6,6,W365-LATAM-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 23H2,10.6.2.78,rg-w365-brs-06,2026-05-27,2026-05-27,2026-07-06,1,Active <15 Days
CPC-00591,CPC-EUW-00591,591,4,11,W365-EMEA-West-Standard,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.4.2.79,rg-w365-euw-11,2025-12-19,2025-12-20,2026-06-30,7,Active <15 Days
CPC-00592,CPC-USE-00592,592,1,2,W365-US-East-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Deprovisioning,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.2.80,rg-w365-use-02,2025-09-16,2025-09-16,2026-06-29,8,Active <15 Days
CPC-00593,CPC-USE-00593,593,1,1,W365-US-East-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.1.2.81,rg-w365-use-01,2026-04-01,2026-04-02,2026-07-06,1,Active <15 Days
CPC-00594,CPC-EUN-00594,594,3,12,W365-EMEA-North-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.82,rg-w365-eun-12,2026-05-27,2026-05-28,2026-05-29,39,15-45 Days
CPC-00595,CPC-USW-00595,595,2,12,W365-US-West-Standard,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.2.83,rg-w365-usw-12,2025-12-30,2025-12-30,2026-06-29,8,Active <15 Days
CPC-00596,CPC-EUN-00596,596,3,5,W365-EMEA-North-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Failed,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.84,rg-w365-eun-05,2026-05-28,2026-05-28,2026-06-08,29,15-45 Days
CPC-00597,CPC-EUN-00597,597,3,8,W365-EMEA-North-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Standard SSD,Windows 11 Enterprise 24H2,10.3.2.85,rg-w365-eun-08,2025-06-10,2025-06-11,2026-07-05,2,Active <15 Days
CPC-00598,CPC-EUN-00598,598,3,2,W365-EMEA-North-Standard,W365 Enterprise 4vCPU/16GB/256GB,Provisioned,4,16,256,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.86,rg-w365-eun-02,2025-10-11,2025-10-12,2026-06-28,9,Active <15 Days
CPC-00599,CPC-EUN-00599,599,3,12,W365-EMEA-North-Standard,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Standard SSD,Windows 11 Enterprise 23H2,10.3.2.87,rg-w365-eun-12,2025-12-31,2026-01-02,2026-06-27,10,Active <15 Days
CPC-00600,CPC-USW-00600,600,2,2,W365-US-West-Dev,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 23H2,10.2.2.88,rg-w365-usw-02,2025-09-14,2025-09-15,2026-06-23,14,Active <15 Days
CPC-00601,CPC-EUN-00601,601,3,4,W365-EMEA-North-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.89,rg-w365-eun-04,2025-11-28,2025-11-29,2026-06-28,9,Active <15 Days
CPC-00602,CPC-USW-00602,602,2,8,W365-US-West-Dev,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.2.2.90,rg-w365-usw-08,2025-07-25,2025-07-25,2026-06-27,10,Active <15 Days
CPC-00603,CPC-EUW-00603,603,4,5,W365-EMEA-West-Dev,W365 Enterprise 8vCPU/32GB/512GB,Provisioned,8,32,512,Standard SSD,Windows 11 Enterprise 24H2,10.4.2.91,rg-w365-euw-05,2026-03-28,2026-03-30,2026-06-24,13,Active <15 Days
CPC-00604,CPC-EUN-00604,604,3,5,W365-EMEA-North-Privileged,W365 Enterprise 2vCPU/8GB/128GB,Provisioned,2,8,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.92,rg-w365-eun-05,2025-10-28,2025-10-28,2026-03-12,117,45+ Days
CPC-00605,CPC-EUN-00605,605,3,9,W365-EMEA-North-Privileged,W365 Enterprise 4vCPU/16GB/128GB,Provisioned,4,16,128,Premium SSD,Windows 11 Enterprise 24H2,10.3.2.93,rg-w365-eun-09,2026-04-30,2026-04-30,2026-06-23,14,Active <15 Days
